formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,30.5093,0.0,1.0,7.0,35380.7997,63.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,6.7435,1.0,2.0,15.0,21772.4309,46.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,46.7185,0.0,2.0,21.0,26740.5207,60.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,22.3255,1.0,2.0,2.0,15539.5581,72.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,27.8191,0.0,4.0,10.0,11270.0346,22.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,34.1213,0.0,1.0,21.0,24291.9803,57.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,45.9873,0.0,3.0,13.0,30540.2267,14.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,45.4977,1.0,2.0,13.0,32219.9782,74.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,41.578,1.0,3.0,5.0,16995.0134,58.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,41.5499,0.0,4.0,5.0,38972.625,1.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,24.9193,1.0,3.0,18.0,32176.8873,21.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,13.6081,1.0,1.0,12.0,3623.0107,100.0,False,False,False,False,False,False,False,False,False,False,False,False
1.0,30.8852,0.0,3.0,0.0,32251.1108,56.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,37.7933,0.0,4.0,23.0,31395.0538,87.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,25.3447,0.0,4.0,23.0,27746.1264,41.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,30.4157,0.0,4.0,12.0,28576.2487,32.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,22.166,0.0,1.0,18.0,30705.5495,47.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,32.5296,1.0,1.0,15.0,36024.5821,47.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,6.3685,1.0,1.0,7.0,38830.301,61.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,10.8722,0.0,4.0,18.0,35530.4727,66.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,33.5059,1.0,4.0,6.0,33584.5671,55.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,5.1568,1.0,4.0,5.0,23117.5569,22.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,29.7435,0.0,4.0,21.0,38189.3351,46.0,False,True,True,False,True,True,False,False,False,False,False,False
0.0,44.6221,1.0,3.0,1.0,16728.115,33.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,27.1756,0.0,3.0,23.0,28041.7856,11.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,34.8548,1.0,1.0,3.0,19995.6363,65.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,32.4413,1.0,2.0,2.0,23710.578,32.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,44.4687,1.0,3.0,10.0,26752.2913,80.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,22.022,1.0,2.0,13.0,6970.9345,17.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,18.5887,0.0,4.0,3.0,17382.8195,39.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,47.877,0.0,2.0,10.0,24741.2119,26.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,8.2791,0.0,1.0,16.0,25900.6374,80.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,11.8841,0.0,1.0,19.0,27062.1192,93.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,42.6498,0.0,3.0,10.0,22339.5307,96.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,29.9506,0.0,1.0,18.0,28440.8327,19.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,6.3101,0.0,4.0,2.0,27300.6406,77.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,6.8468,1.0,2.0,7.0,18200.8087,98.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,48.9061,0.0,2.0,9.0,37041.2308,68.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,26.0784,0.0,3.0,4.0,8683.7518,69.0,False,False,True,False,False,False,False,False,False,False,False,False
