,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,[ 50.   0.   0. -30.   1.   2.],[ 50.   0.   0. -30.   1.   2.],[0.99999999 0.99949074 0.99920791],[0.99999999 0.99949074 0.99920791],380.0,380.0,0.0,0.0,19.147021770477295,1.221092700958252,15.680236034046947
1,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.04839277267456,0.9078845977783203,22.08253430197503
2,[ 50.   0.   0. -30.   2.   2.],[ 50.   0.   0. -30.   2.   2.],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,380.0,0.0,0.0,20.226128816604614,1.0805344581604004,18.718633787060718
3,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  2.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   2.   0.],[1.         0.99948359 0.99962413],[1.         0.99948359 0.99962413],380.0,380.0,0.0,0.0,19.3637797832489,1.512650728225708,12.801223324013474
4,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  0.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   0.   0.],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,380.0,0.0,0.0,20.289364337921143,1.3736608028411865,14.770287028614344
5,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,22.02501082420349,1.068289041519165,20.6170895405636
6,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  0.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   0.   0.],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,380.0,0.0,0.0,19.431552410125732,1.3271491527557373,14.641573910345647
7,[ 50.   0.   0. -30.   1.   1.],[ 50.   0.   0. -30.   1.   1.],[1.         0.99923062 0.99886179],[1.         0.99923062 0.99886179],380.0,380.0,0.0,0.0,20.36358118057251,0.9077873229980469,22.432105697753087
8,[ 50.   0.   0. -30.   2.   1.],[ 50.   0.   0. -30.   2.   1.],[1.         0.99923062 0.99910057],[1.         0.99923062 0.99910057],380.0,380.0,0.0,0.0,17.503105401992798,1.090092420578003,16.056533438432748
9,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  1.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   1.   0.],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,380.0,0.0,0.0,19.600361347198486,1.0909619331359863,17.96612764558792
10,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.18537664413452,0.542205810546875,37.22825586058423
11,[ 50.   0.   0. -30.   1.   2.],[ 50.   0.   0. -30.   1.   2.],[0.99999999 0.99949074 0.99920791],[0.99999999 0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.560029983520508,1.3488988876342773,15.242083874484507
12,[ 50.   0.   0. -30.   1.   2.],[ 50.   0.   0. -30.   1.   2.],[0.99999999 0.99949074 0.99920791],[0.99999999 0.99949074 0.99920791],380.0,380.0,0.0,0.0,18.80745577812195,1.0435473918914795,18.022617778798274
13,[ 50.   0.   0. -30.   2.   2.],[ 50.   0.   0. -30.   2.   2.],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,380.0,0.0,0.0,19.774596452713013,0.7145936489105225,27.67250518229708
14,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  0.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   0.   0.],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,380.0,0.0,0.0,19.330111742019653,1.3357152938842773,14.471730488169705
15,[ 50.   0.   0. -30.   0.   1.],[ 50.   0.   0. -30.   0.   1.],[1.         0.99923062 0.99886179],[1.         0.99923062 0.99886179],380.0,380.0,0.0,0.0,19.171820163726807,0.9608571529388428,19.952830766871614
16,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.02902317047119,1.144577980041504,17.499046390657377
17,[ 50.   0.   0. -30.   2.   2.],[ 50.   0.   0. -30.   2.   2.],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,380.0,0.0,0.0,19.642471313476562,0.9769456386566162,20.10600235698543
18,[ 50.   0.   0. -30.   1.   2.],[ 50.   0.   0. -30.   1.   2.],[0.99999999 0.99949074 0.99920791],[0.99999999 0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.623207569122314,1.4449207782745361,14.27289847250289
19,[ 50.   0.   0. -30.   1.   1.],[ 50.   0.   0. -30.   1.   1.],[1.         0.99923062 0.99886179],[1.         0.99923062 0.99886179],380.0,380.0,0.0,0.0,20.340816974639893,1.311762809753418,15.506474816482646
20,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  1.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   1.   0.],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,380.0,0.0,0.0,19.434876441955566,0.8325741291046143,23.34311836335422
21,[ 50.   0.   0. -30.   2.   2.],[ 50.   0.   0. -30.   2.   2.],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,380.0,0.0,0.0,19.939718008041382,1.2945079803466797,15.40331794841571
22,[ 50.   0.   0. -30.   0.   1.],[ 50.   0.   0. -30.   0.   1.],[1.         0.99923062 0.99886179],[1.         0.99923062 0.99886179],380.0,380.0,0.0,0.0,19.11384654045105,1.3570125102996826,14.085239741990256
23,[ 50.   0.   0. -30.   1.   1.],[ 50.   0.   0. -30.   1.   1.],[1.         0.99923062 0.99886179],[1.         0.99923062 0.99886179],380.0,380.0,0.0,0.0,20.376800298690796,0.6842267513275146,29.780771153943316
24,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  2.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   2.   0.],[1.         0.99948359 0.99962413],[1.         0.99948359 0.99962413],380.0,380.0,0.0,0.0,21.19864821434021,0.9629180431365967,22.015007783308338
25,[ 50.   0.   0. -30.   2.   1.],[ 50.   0.   0. -30.   2.   1.],[1.         0.99923062 0.99910057],[1.         0.99923062 0.99910057],380.0,380.0,0.0,0.0,17.57935881614685,1.1609985828399658,15.141585076826939
26,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  2.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   2.   0.],[1.         0.99948359 0.99962413],[1.         0.99948359 0.99962413],380.0,380.0,0.0,0.0,19.43546199798584,1.2776298522949219,15.212122637143462
27,[ 50.   0.   0. -30.   1.   1.],[ 50.   0.   0. -30.   1.   1.],[1.         0.99923062 0.99886179],[1.         0.99923062 0.99886179],380.0,380.0,0.0,0.0,20.421969413757324,1.1924948692321777,17.125414910092317
28,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.152137994766235,1.169569730758667,17.230386068297193
29,[ 50.   0.   0. -30.   2.   2.],[ 50.   0.   0. -30.   2.   2.],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,380.0,0.0,0.0,19.816042184829712,1.0978152751922607,18.050434014373977
30,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.34829092025757,0.9981744289398193,20.385506110259595
31,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,21.99487543106079,1.3904907703399658,15.818066469929311
32,[ 50.   0.   0. -30.   0.   1.],[ 50.   0.   0. -30.   0.   1.],[1.         0.99923062 0.99886179],[1.         0.99923062 0.99886179],380.0,380.0,0.0,0.0,19.226413011550903,1.2561233043670654,15.30615103207459
33,[ 50.   0.   0. -30.   2.   2.],[ 50.   0.   0. -30.   2.   2.],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,380.0,0.0,0.0,20.002267360687256,1.3782596588134766,14.512698846534414
34,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.26384162902832,0.8563294410705566,23.66360498325865
35,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  0.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   0.   0.],[1.         0.99948359 0.99952435],[1.         0.99948359 0.99952435],380.0,380.0,0.0,0.0,19.406407833099365,1.2718641757965088,15.25823920698611
36,"[ 5.00000000e+01  0.00000000e+00  1.11318565e-17 -3.00000000e+01
  0.00000000e+00  2.00000000e+00]",[ 50.   0.   0. -30.   0.   2.],[1.         0.99949074 0.99920791],[1.         0.99949074 0.99920791],380.0,380.0,0.0,0.0,20.218024969100952,0.9609372615814209,21.039901123022343
37,[ 50.   0.   0. -30.   2.   2.],[ 50.   0.   0. -30.   2.   2.],[0.99999999 0.99949074 0.99937409],[0.99999999 0.99949074 0.99937409],380.0,380.0,0.0,0.0,21.914161205291748,0.8213303089141846,26.681301015498523
38,"[ 5.00000000e+01  1.75121587e-16  1.23662444e-17 -3.00000000e+01
  2.00000000e+00  0.00000000e+00]",[ 50.   0.   0. -30.   2.   0.],[1.         0.99948359 0.99962413],[1.         0.99948359 0.99962413],380.0,380.0,0.0,0.0,19.46671986579895,0.7836382389068604,24.841462423980403
