,nsga3_adaptation,custom_adaptation,nsga3_confidence,custom_confidence,nsga3_score,custom_score,score_diff,score_improvement[%],nsga3_time,custom_time,speed-up
0,"[ 0.38563257 99.78556125 99.98864935 21.66598135 28.         94.0161
 80.7624     63.5628      1.        ]",[ 0.3396 99.827  99.9967 87.686  28.     94.0161 80.7624 63.5628  1.    ],[0.37391534 0.85617086 0.94371879 0.81121   ],[0.37391534 0.80068751 0.96265781 0.65814705],78.9454406106488,12.829899999999952,-66.11554061064885,-0.8374839648653585,1.0171551704406738,0.05511307716369629,18.45578622691544
1,"[ 0.43804274 99.78630917 99.96533768 85.34851794  6.         71.8208
 75.0593     60.5977      1.        ]","[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.78074606e+01
 6.00000000e+00 7.18208000e+01 7.50593000e+01 6.05977000e+01
 1.00000000e+00]",[0.86469409 0.70784431 0.94721115 0.88253934],[0.86469409 0.70784431 0.93449903 0.7861121 ],15.337877945372384,13.293271717171706,-2.044606228200678,-0.13330437466530756,0.9908292293548584,0.07227802276611328,13.708582380028764
2,"[42.72486906 99.24010105 99.97747559 84.97622317 77.          7.5391
  1.6253     80.0753      0.        ]","[ 1.06102121 90.87620909 99.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]",[0.27261309 0.81763878 0.97058773 0.57745049],[0.24539445 0.94806552 0.96666193 0.57745049],58.53106925580448,25.4063363636364,-33.12473289216808,-0.5659341835598387,0.87310791015625,0.030451059341430664,28.67249708348666
3,"[13.75842789 97.55196917 99.99920632 85.00532191 69.         53.3293
 80.054      70.5053      0.        ]","[ 1.06102121 90.87620909 99.9967     66.62766667 69.         53.3293
 80.054      70.5053      0.        ]",[0.80916337 0.85286192 0.9164896  0.57745049],[0.78327803 0.91075036 0.63110209 0.50359447],31.20193049506389,43.560445454545516,12.358514959481624,0.3960817412062605,0.8756067752838135,0.18038678169250488,4.85405176071277
4,"[ 1.58369831 90.61960243 99.10115932 18.92385069 99.          2.4322
 12.8356     94.2017      1.        ]","[ 1.06102121 90.87620909 99.9967     19.80746061 99.          2.4322
 12.8356     94.2017      1.        ]",[0.84108509 0.81359925 0.99848431 0.8845587 ],[0.84108509 0.87609714 0.99848431 0.97383886],92.93908586664253,90.38065151515156,-2.5584343514909733,-0.027528077424411598,2.1716198921203613,0.7324292659759521,2.9649551062473
5,"[14.57729051 99.71272476 99.99101639 94.57218582 45.         98.6709
  3.9151     61.8843      1.        ]","[ 1.06102121 98.95406768 99.9967     94.86739192 45.         98.6709
  3.9151     61.8843      1.        ]",[0.11009124 0.09321221 0.36121684 0.58623797],[0.11009124 0.11322813 0.18703236 0.52185465],20.301363536156373,7.242861616161576,-13.058501919994796,-0.6432327511764337,1.300260066986084,0.021570682525634766,60.2790414925835
6,"[ 0.65194188 98.17741214 99.97311693 86.09957827 50.         73.3268
 98.4476     89.9971      1.        ]","[ 1.06102121 90.87620909 99.9967     68.6447899  50.         73.3268
 98.4476     89.9971      1.        ]",[0.87989255 0.79048144 0.46926126 0.73540623],[0.87989255 0.69474486 0.40441379 0.66534885],16.401834544804274,41.54332222222229,25.141487677418013,1.5328460733303924,0.9964728355407715,0.054721832275390625,18.20978563959568
7,"[13.91538586 99.84560642 99.99983661 85.19350524 60.          5.0044
 65.223      37.6768      0.        ]","[ 1.06102121 97.95406768 99.9967     84.80746061 60.          5.0044
 65.223      37.6768      0.        ]",[0.89328678 0.86190203 0.78338432 0.60140953],[0.89328678 0.91842686 0.6669662  0.5375246 ],28.876437585928443,18.302792929292934,-10.573644656635508,-0.3661685976731448,1.0031628608703613,0.15517783164978027,6.46460161355001
8,"[  0.3832223   90.80788925  99.99832973  21.47709078 100.
  92.6164      59.3104       6.7457       1.        ]","[5.15000000e-02 8.48178152e+01 9.99967000e+01 2.62937636e+01
 1.00000000e+02 9.26164000e+01 5.93104000e+01 6.74570000e+00
 1.00000000e+00]",[0.4015668  0.89156646 0.91158557 0.67112966],[0.4015668  0.84360742 0.8993116  0.46206713],88.09991254307351,88.94322121212122,0.8433086690477012,0.009572185087418713,0.9689939022064209,0.03812909126281738,25.413506331092698
9,"[ 0.90139999 75.84669812 99.92235542 14.07049313 57.         36.8875
 58.619      10.06        1.        ]","[ 1.06102121 90.87620909 99.9967     84.86739192 57.         36.8875
 58.619      10.06        1.        ]",[0.95790963 0.80904788 0.97077829 0.87665187],[0.95790963 0.73077225 0.9918105  0.89594183],111.06185332589484,25.320720202020198,-85.74113312387465,-0.7720124467244371,4.959332227706909,0.25294995307922363,19.605982002904945
10,"[ 0.90138254 75.84934178 99.99839379 14.06500171 32.         47.4298
 72.366      51.9463      1.        ]","[5.15000000e-02 9.89540677e+01 9.99967000e+01 8.18331455e+01
 3.20000000e+01 4.74298000e+01 7.23660000e+01 5.19463000e+01
 1.00000000e+00]",[0.96058661 0.8022356  0.98612738 0.93565835],[0.96058661 0.81197037 0.99928564 0.95816439],110.98864524656722,19.267586868686863,-91.72105837788035,-0.8264003779316084,5.234730958938599,0.1860060691833496,28.14279653304553
11,"[ 3.83074084 23.0694339  99.89358567 18.92405189 65.         71.5749
 16.7207     90.6924      1.        ]","[ 1.06102121 73.82754747 99.9967     35.78177576 65.         71.5749
 16.7207     90.6924      1.        ]",[0.81090833 0.80621877 0.8329249  0.89006582],[0.87349367 0.80326016 0.9942221  0.95261068],161.94366937908612,91.45499797979795,-70.48867139928817,-0.43526660640425924,5.361888885498047,0.8973250389099121,5.975414318106819
12,"[13.85107335 75.85884502 73.89686134 85.33239789 37.         79.1809
 53.0692     31.1356      0.        ]","[15.19431818 69.6718303  73.74644747 87.86739192 37.         79.1809
 53.0692     31.1356      0.        ]",[0.65963503 0.8003267  0.74761128 0.34438825],[0.59350056 0.79127822 0.6685763  0.34438825],78.76296910578242,83.90864848484841,5.145679379065996,0.06533120116580551,1.0626471042633057,0.2731900215148926,3.8897727609914803
13,"[1.76022689e-02 9.98491014e+01 9.99936656e+01 2.17915081e+01
 5.70000000e+01 9.11472000e+01 3.00571000e+01 4.77731000e+01
 1.00000000e+00]","[ 1.06102121 98.95406768 99.9967     87.80746061 57.         91.1472
 30.0571     47.7731      1.        ]",[0.41357369 0.83161781 0.96993434 0.93641192],[0.41357369 0.68503988 0.97232157 0.8355969 ],78.38332714331978,14.302792929292934,-64.08053421402684,-0.8175276114122965,1.3648560047149658,0.02640080451965332,51.69751564574246
14,"[ 0.1887416  97.87368923 99.99636958 85.19345913 54.          8.7951
 97.14       64.1799      0.        ]","[ 1.06102121 97.95406768 99.9967     84.80746061 54.          8.7951
 97.14       64.1799      0.        ]",[0.8650679  0.93031465 0.02125503 0.20295168],[0.8650679  0.92524497 0.02125503 0.20295168],17.12522366353238,18.302792929292934,1.1775692657605532,0.0687622707239818,1.1272621154785156,0.11864089965820312,9.501462975467026
15,"[ 0.90139995 75.84290051 99.83596597 14.07717001 79.         86.3154
 36.3292     89.1413      1.        ]","[ 1.06102121 90.95406768 99.9967     21.24239394 79.         86.3154
 36.3292     89.1413      1.        ]",[0.82069764 0.80720414 0.91394186 0.92926326],[0.82069764 0.79946794 0.99856299 0.95859156],111.14536345871079,88.8678595959596,-22.27750386275119,-0.20043574621110508,5.05192494392395,0.08898615837097168,56.772031026029175
16,"[ 0.61556624 99.86238255 99.98074869 94.95764564 63.         92.8676
 18.7256     55.7951      1.        ]","[5.15000000e-02 9.08762091e+01 9.99967000e+01 8.78074606e+01
 6.30000000e+01 9.28676000e+01 1.87256000e+01 5.57951000e+01
 1.00000000e+00]",[0.35533173 0.81431399 0.96863347 0.74755613],[0.35533173 0.81431399 0.95272064 0.69522464],5.814789361703561,21.37113030303027,15.55634094132671,2.6753060125928902,0.9149258136749268,0.1354198455810547,6.75621663685404
17,"[17.08903753 98.67194941 99.99634178 84.57352956 86.         81.9628
 80.0029     77.7698      0.        ]","[ 1.06102121 90.87620909 99.9967     19.24239394 86.         81.9628
 80.0029     77.7698      0.        ]",[0.61251751 0.87102085 0.7247504  0.50103126],[0.52135348 0.81356431 0.42941868 0.67180002],33.847216784162015,90.94571818181822,57.09850139765621,1.686948199072429,0.9681141376495361,0.06397795677185059,15.1319952448918
18,"[ 3.83074965 22.94121954 99.93650109 18.92386344 68.         53.6763
 79.7056     39.447       1.        ]","[ 1.06102121 97.95406768 99.9967     84.80746061 68.         53.6763
 79.7056     39.447       1.        ]",[0.9298168  0.81392987 0.84866524 0.8379893 ],[0.95582921 0.74110606 0.99871957 0.95449211],162.02916558237794,18.302792929292934,-143.726372653085,-0.8870401334012454,4.708862066268921,0.09776496887207031,48.16512622666173
19,"[13.99684673 99.82498623 99.98259314 84.67122799 48.          5.8405
 17.4103     42.6772      0.        ]","[ 1.06102121 90.87620909 99.9967     94.86739192 48.          5.8405
 17.4103     42.6772      0.        ]",[0.84248608 0.85280625 0.91291809 0.60140953],[0.82282451 0.93693785 0.49317205 0.5375246 ],29.518039376597187,15.320720202020198,-14.19731917457699,-0.48097094097086485,1.3850929737091064,0.16151976585388184,8.575377548294151
20,"[ 1.58369607 38.34137783 99.58675317 14.0645024  92.         48.5672
 34.9167     13.1011      1.        ]","[ 1.06102121 74.82754747 98.9967     19.86739192 92.         48.5672
 34.9167     13.1011      1.        ]",[0.95611147 0.80556351 0.81903332 0.81043786],[0.95790963 0.80491985 0.98354578 0.81073228],149.59106267126694,107.36938181818175,-42.22168085308519,-0.2822473488664842,4.821608066558838,1.1593279838562012,4.158968069174885
21,"[ 0.27874592 88.86495993 99.88525027 18.92385007 34.         23.4219
 55.6327     75.5008      1.        ]","[17.18479697 90.87620909 77.77647778 84.78177576 34.         23.4219
 55.6327     75.5008      1.        ]",[0.959476   0.80042721 0.99681479 0.9625845 ],[0.959476   0.51554517 0.99985707 0.93955209],92.60468565122397,63.75033434343436,-28.854351307789614,-0.3115862993851461,5.777172803878784,0.19482207298278809,29.65358450112159
22,"[ 0.90139818 75.8454929  99.88548508 14.06450845 20.         30.5299
 88.347      72.1533      1.        ]","[ 1.06102121 98.95406768 99.9967     84.79033737 20.         30.5299
 88.347      72.1533      1.        ]",[0.96174328 0.8022356  0.94582063 0.92829962],[0.96660059 0.73083541 0.9972899  0.95153287],111.10591175188489,17.319916161616163,-93.78599559026873,-0.8441134599543725,4.912055969238281,0.02054905891418457,239.04043439418024
23,"[6.88237395e-02 9.98745781e+01 9.99998627e+01 8.53533456e+01
 2.60000000e+01 2.50392000e+01 8.78182000e+01 5.73263000e+01
 0.00000000e+00]","[ 3.06102121 97.95406768 99.9967     87.80746061 26.         25.0392
 87.8182     57.3263      0.        ]",[0.8322899  0.9313299  0.5028165  0.59747196],[0.81164015 0.89665791 0.28525689 0.53344551],14.841037401123344,17.302792929292934,2.46175552816959,0.1658748955098823,1.222923994064331,0.19588708877563477,6.243004588551746
